season;year;month;day;hour;hour_sin;hour_cos;prev_temp;value
4;1946;1;1;7;0.9659258262890683;-0.25881904510252063;-8.2;-8.2
4;1946;1;1;14;-0.4999999999999997;-0.8660254037844388;-8.2;-2.7
4;1946;1;1;21;-0.7071067811865477;0.7071067811865474;-2.7;-5.9
4;1946;1;2;7;0.9659258262890683;-0.25881904510252063;-5.9;-8.3
4;1946;1;2;14;-0.4999999999999997;-0.8660254037844388;-8.3;-4.2
4;1946;1;2;21;-0.7071067811865477;0.7071067811865474;-4.2;-6.3
4;1946;1;3;7;0.9659258262890683;-0.25881904510252063;-6.3;-7.7
4;1946;1;3;14;-0.4999999999999997;-0.8660254037844388;-7.7;-3.9
4;1946;1;3;21;-0.7071067811865477;0.7071067811865474;-3.9;-12.0
4;1946;1;4;7;0.9659258262890683;-0.25881904510252063;-12.0;-14.3
4;1946;1;4;14;-0.4999999999999997;-0.8660254037844388;-14.3;-3.3
4;1946;1;4;21;-0.7071067811865477;0.7071067811865474;-3.3;-11.2
4;1946;1;5;7;0.9659258262890683;-0.25881904510252063;-11.2;-14.0
4;1946;1;5;14;-0.4999999999999997;-0.8660254037844388;-14.0;-1.9
4;1946;1;5;21;-0.7071067811865477;0.7071067811865474;-1.9;-10.0
4;1946;1;6;7;0.9659258262890683;-0.25881904510252063;-10.0;-7.1
4;1946;1;6;14;-0.4999999999999997;-0.8660254037844388;-7.1;0.0
4;1946;1;6;21;-0.7071067811865477;0.7071067811865474;0.0;-9.1
4;1946;1;7;7;0.9659258262890683;-0.25881904510252063;-9.1;-11.5
4;1946;1;7;14;-0.4999999999999997;-0.8660254037844388;-11.5;0.8
4;1946;1;7;21;-0.7071067811865477;0.7071067811865474;0.8;-8.2
4;1946;1;8;7;0.9659258262890683;-0.25881904510252063;-8.2;-9.9
4;1946;1;8;14;-0.4999999999999997;-0.8660254037844388;-9.9;3.7
4;1946;1;8;21;-0.7071067811865477;0.7071067811865474;3.7;-6.9
4;1946;1;9;7;0.9659258262890683;-0.25881904510252063;-6.9;-9.3
4;1946;1;9;14;-0.4999999999999997;-0.8660254037844388;-9.3;0.0
4;1946;1;9;21;-0.7071067811865477;0.7071067811865474;0.0;-7.0
4;1946;1;10;7;0.9659258262890683;-0.25881904510252063;-7.0;-4.4
4;1946;1;10;14;-0.4999999999999997;-0.8660254037844388;-4.4;5.2
4;1946;1;10;21;-0.7071067811865477;0.7071067811865474;5.2;6.0
4;1946;1;11;7;0.9659258262890683;-0.25881904510252063;6.0;8.0
4;1946;1;11;14;-0.4999999999999997;-0.8660254037844388;8.0;11.9
4;1946;1;11;21;-0.7071067811865477;0.7071067811865474;11.9;3.3
4;1946;1;12;7;0.9659258262890683;-0.25881904510252063;3.3;0.2
4;1946;1;12;14;-0.4999999999999997;-0.8660254037844388;0.2;11.1
4;1946;1;12;21;-0.7071067811865477;0.7071067811865474;11.1;5.0
4;1946;1;13;7;0.9659258262890683;-0.25881904510252063;5.0;2.2
4;1946;1;13;14;-0.4999999999999997;-0.8660254037844388;2.2;4.1
4;1946;1;13;21;-0.7071067811865477;0.7071067811865474;4.1;-1.1
4;1946;1;14;7;0.9659258262890683;-0.25881904510252063;-1.1;-6.5
4;1946;1;14;14;-0.4999999999999997;-0.8660254037844388;-6.5;-5.1
4;1946;1;14;21;-0.7071067811865477;0.7071067811865474;-5.1;-5.9
4;1946;1;15;7;0.9659258262890683;-0.25881904510252063;-5.9;-9.5
4;1946;1;15;14;-0.4999999999999997;-0.8660254037844388;-9.5;-7.2
4;1946;1;15;21;-0.7071067811865477;0.7071067811865474;-7.2;-8.0
4;1946;1;16;7;0.9659258262890683;-0.25881904510252063;-8.0;-8.9
4;1946;1;16;14;-0.4999999999999997;-0.8660254037844388;-8.9;-8.3
4;1946;1;16;21;-0.7071067811865477;0.7071067811865474;-8.3;-9.1
4;1946;1;17;7;0.9659258262890683;-0.25881904510252063;-9.1;-13.0
4;1946;1;17;14;-0.4999999999999997;-0.8660254037844388;-13.0;-7.2
4;1946;1;17;21;-0.7071067811865477;0.7071067811865474;-7.2;-9.9
4;1946;1;18;7;0.9659258262890683;-0.25881904510252063;-9.9;-6.0
4;1946;1;18;14;-0.4999999999999997;-0.8660254037844388;-6.0;1.1
4;1946;1;18;21;-0.7071067811865477;0.7071067811865474;1.1;-3.9
4;1946;1;19;7;0.9659258262890683;-0.25881904510252063;-3.9;-4.0
4;1946;1;19;14;-0.4999999999999997;-0.8660254037844388;-4.0;1.9
4;1946;1;19;21;-0.7071067811865477;0.7071067811865474;1.9;-2.0
4;1946;1;20;7;0.9659258262890683;-0.25881904510252063;-2.0;-1.3
4;1946;1;20;14;-0.4999999999999997;-0.8660254037844388;-1.3;0.9
4;1946;1;20;21;-0.7071067811865477;0.7071067811865474;0.9;-1.8
4;1946;1;21;7;0.9659258262890683;-0.25881904510252063;-1.8;-1.8
4;1946;1;21;14;-0.4999999999999997;-0.8660254037844388;-1.8;-2.1
4;1946;1;21;21;-0.7071067811865477;0.7071067811865474;-2.1;-4.3
4;1946;1;22;7;0.9659258262890683;-0.25881904510252063;-4.3;-7.0
4;1946;1;22;14;-0.4999999999999997;-0.8660254037844388;-7.0;-5.2
4;1946;1;22;21;-0.7071067811865477;0.7071067811865474;-5.2;-6.1
4;1946;1;23;7;0.9659258262890683;-0.25881904510252063;-6.1;-7.1
4;1946;1;23;14;-0.4999999999999997;-0.8660254037844388;-7.1;-4.2
4;1946;1;23;21;-0.7071067811865477;0.7071067811865474;-4.2;-6.5
