datetime;value
2012010100;-999
2012010106;8
2012010112;7
2012010118;8
2012010200;-999
2012010206;8
2012010212;8
2012010218;7
2012010300;-999
2012010306;8
2012010312;8
2012010318;8
2012010400;-999
2012010406;7
2012010412;3
2012010418;8
2012010500;-999
2012010506;8
2012010512;7
2012010518;8
2012010600;-999
2012010606;7
2012010612;4
2012010618;7
2012010700;-999
2012010706;8
2012010712;7
2012010718;8
2012010800;-999
2012010806;8
2012010812;7
2012010818;8
2012010900;-999
2012010906;7
2012010912;8
2012010918;8
2012011000;-999
2012011006;1
2012011012;0
2012011018;8
2012011100;-999
2012011106;8
2012011112;7
2012011118;8
2012011200;-999
2012011206;8
2012011212;7
2012011218;3
2012011300;-999
2012011306;7
2012011312;7
2012011318;0
2012011400;-999
2012011406;0
2012011412;1
2012011418;8
2012011500;-999
2012011506;2
2012011512;1
2012011518;8
2012011600;-999
2012011606;8
2012011612;7
2012011618;7
2012011700;-999
2012011706;8
2012011712;8
2012011718;8
2012011800;-999
2012011806;0
2012011812;8
2012011818;8
2012011900;-999
2012011906;8
2012011912;8
2012011918;8
2012012000;-999
2012012006;8
2012012012;8
2012012018;1
2012012100;-999
2012012106;8
2012012112;7
2012012118;7
2012012200;-999
2012012206;8
2012012212;8
2012012218;8
2012012300;-999
2012012306;8
2012012312;4
2012012318;8
2012012400;-999
2012012406;0
2012012412;0
2012012418;0
2012012500;-999
2012012506;7
2012012512;0
2012012518;8
2012012600;-999
2012012606;0
2012012612;0
2012012618;0
2012012700;-999
2012012706;7
2012012712;8
2012012718;8
2012012800;-999
2012012806;8
2012012812;8
2012012818;7
2012012900;-999
2012012906;8
2012012912;8
2012012918;8
2012013000;-999
2012013006;8
2012013012;3
2012013018;0
2012013100;-999
2012013106;0
2012013112;0
2012013118;2
2012020100;-999
2012020106;0
2012020112;0
2012020118;0
2012020200;-999
2012020206;8
2012020212;5
2012020218;7
2012020300;-999
2012020306;7
2012020312;8
2012020318;3
2012020400;-999
2012020406;7
2012020412;7
2012020418;8
2012020500;-999
2012020506;1
2012020512;0
2012020518;8
2012020600;-999
2012020606;0
2012020612;3
2012020618;0
2012020700;-999
2012020706;8
2012020712;7
2012020718;8
2012020800;-999
2012020806;8
2012020812;8
2012020818;8
2012020900;-999
2012020906;8
2012020912;5
2012020918;4
2012021000;-999
2012021006;8
2012021012;6
2012021018;8
2012021100;-999
2012021106;8
2012021112;7
2012021118;8
2012021200;-999
2012021206;7
2012021212;8
2012021218;8
2012021300;-999
2012021306;8
2012021312;7
2012021318;8
2012021400;-999
2012021406;8
2012021412;8
2012021418;8
2012021500;-999
2012021506;0
2012021512;1
2012021518;0
2012021600;-999
2012021606;8
2012021612;8
2012021618;7
2012021700;-999
2012021706;8
2012021712;1
2012021718;2
2012021800;-999
2012021806;8
2012021812;7
2012021818;8
2012021900;-999
2012021906;8
2012021912;7
2012021918;0
2012022000;-999
2012022006;0
2012022012;6
2012022018;8
2012022100;-999
2012022106;8
2012022112;7
2012022118;8
2012022200;-999
2012022206;8
2012022212;8
2012022218;8
2012022300;-999
2012022306;8
2012022312;0
2012022318;8
2012022400;-999
2012022406;8
2012022412;8
2012022418;1
2012022500;-999
2012022506;0
2012022512;8
2012022518;5
2012022600;-999
2012022606;8
2012022612;0
2012022618;0
2012022700;-999
2012022706;8
2012022712;7
2012022718;8
2012022800;-999
2012022806;8
2012022812;7
2012022818;8
2012022900;-999
2012022906;7
2012022912;8
2012022918;8
2012030100;-999
2012030106;8
2012030112;7
2012030118;8
2012030200;-999
2012030206;8
2012030212;8
2012030218;8
2012030300;-999
2012030306;8
2012030312;7
2012030318;8
2012030400;-999
2012030406;8
2012030412;8
2012030418;8
2012030500;-999
2012030506;8
2012030512;8
2012030518;8
2012030600;-999
2012030606;0
2012030612;0
2012030618;8
2012030700;-999
2012030706;0
2012030712;8
2012030718;7
2012030800;-999
2012030806;8
2012030812;0
2012030818;2
2012030900;-999
2012030906;8
2012030912;8
2012030918;8
2012031000;-999
2012031006;8
2012031012;8
2012031018;7
2012031100;-999
2012031106;4
2012031112;8
2012031118;8
2012031200;-999
2012031206;8
2012031212;6
2012031218;8
2012031300;-999
2012031306;8
2012031312;7
2012031318;7
2012031400;-999
2012031406;8
2012031412;7
2012031418;8
2012031500;-999
2012031506;8
2012031512;8
2012031518;0
2012031600;-999
2012031606;3
2012031612;0
2012031618;3
2012031700;-999
2012031706;8
2012031712;8
2012031718;8
2012031800;-999
2012031806;8
2012031812;7
2012031818;8
2012031900;-999
2012031906;1
2012031912;8
2012031918;0
2012032000;-999
2012032006;7
2012032012;8
2012032018;8
2012032100;-999
2012032106;7
2012032112;4
2012032118;8
2012032200;-999
2012032206;0
2012032212;0
2012032218;0
2012032300;-999
2012032306;0
2012032312;0
2012032318;0
2012032400;-999
2012032406;7
2012032412;8
2012032418;8
2012032500;-999
2012032506;8
2012032512;0
2012032518;0
2012032600;-999
2012032606;8
2012032612;5
2012032618;3
2012032700;-999
2012032706;8
2012032712;7
2012032718;8
2012032800;-999
2012032806;0
2012032812;0
2012032818;7
2012032900;-999
2012032906;8
2012032912;8
2012032918;8
2012033000;-999
2012033006;8
2012033012;6
2012033018;1
2012033100;-999
2012033106;8
2012033112;7
2012033118;0
2012040100;-999
2012040106;2
2012040112;7
2012040118;7
2012040200;-999
2012040206;7
2012040212;7
2012040218;8
2012040300;-999
2012040306;7
2012040312;7
2012040318;8
2012040400;-999
2012040406;8
2012040412;7
2012040418;7
2012040500;-999
2012040506;0
2012040512;0
2012040518;0
2012040600;-999
2012040606;0
2012040612;3
2012040618;7
2012040700;-999
2012040706;7
2012040712;7
2012040718;2
2012040800;-999
2012040806;0
2012040812;6
2012040818;8
2012040900;-999
2012040906;8
2012040912;8
2012040918;7
2012041000;-999
2012041006;7
2012041012;7
2012041018;8
2012041100;-999
2012041106;8
2012041112;8
2012041118;8
2012041200;-999
2012041206;8
2012041212;7
2012041218;8
2012041300;-999
2012041306;8
2012041312;8
2012041318;8
2012041400;-999
2012041406;8
2012041412;1
2012041418;8
2012041500;-999
2012041506;7
2012041512;0
2012041518;7
2012041600;-999
2012041606;4
2012041612;0
2012041618;6
2012041700;-999
2012041706;0
2012041712;7
2012041718;8
2012041800;-999
2012041806;8
2012041812;8
2012041818;0
2012041900;-999
2012041906;0
2012041912;3
2012041918;7
2012042000;-999
2012042006;8
2012042012;7
2012042018;5
2012042100;-999
2012042106;8
2012042112;7
2012042118;8
2012042200;-999
2012042206;8
2012042212;2
2012042218;8
2012042300;-999
2012042306;7
2012042312;4
2012042318;0
2012042400;-999
2012042406;7
2012042412;8
2012042418;7
2012042500;-999
2012042506;7
2012042512;7
2012042518;8
2012042600;-999
2012042606;4
2012042612;8
2012042618;8
2012042700;-999
2012042706;7
2012042712;7
2012042718;8
2012042800;-999
2012042806;7
2012042812;7
2012042818;3
2012042900;-999
2012042906;8
2012042912;7
2012042918;8
2012043000;-999
2012043006;7
2012043012;7
2012043018;8
2012050100;-999
2012050106;0
2012050112;1
2012050118;8
2012050200;-999
2012050206;1
2012050212;1
2012050218;0
2012050300;-999
2012050306;8
2012050312;8
2012050318;8
2012050400;-999
2012050406;5
2012050412;8
2012050418;7
2012050500;-999
2012050506;8
2012050512;1
2012050518;8
2012050600;-999
2012050606;8
2012050612;6
2012050618;8
2012050700;-999
2012050706;6
2012050712;8
2012050718;7
2012050800;-999
2012050806;8
2012050812;3
2012050818;8
2012050900;-999
2012050906;8
2012050912;8
2012050918;8
2012051000;-999
2012051006;8
2012051012;5
2012051018;7
2012051100;-999
2012051106;8
2012051112;3
2012051118;8
2012051200;-999
2012051206;1
2012051212;5
2012051218;6
2012051300;-999
2012051306;7
2012051312;3
2012051318;8
2012051400;-999
2012051406;7
2012051412;8
2012051418;8
2012051500;-999
2012051506;8
2012051512;8
2012051518;7
2012051600;-999
2012051606;7
2012051612;7
2012051618;1
2012051700;-999
2012051706;8
2012051712;1
2012051718;0
2012051800;-999
2012051806;8
2012051812;8
2012051818;7
2012051900;-999
2012051906;8
2012051912;3
2012051918;0
2012052000;-999
2012052006;0
2012052012;8
2012052018;2
2012052100;-999
2012052106;0
2012052112;5
2012052118;7
2012052200;-999
2012052206;7
2012052212;5
2012052218;0
2012052300;-999
2012052306;3
2012052312;1
2012052318;0
2012052400;-999
2012052406;0
2012052412;0
2012052418;1
2012052500;-999
2012052506;0
2012052512;1
2012052518;1
2012052600;-999
2012052606;0
2012052612;6
2012052618;8
2012052700;-999
2012052706;8
2012052712;0
2012052718;0
2012052800;-999
2012052806;8
2012052812;0
2012052818;8
2012052900;-999
2012052906;1
2012052912;6
2012052918;2
2012053000;-999
2012053006;7
2012053012;8
2012053018;5
2012053100;-999
