STATIONS_ID;MESS_DATUM;QN_4;VK_TER;eor
       5839;1997070107;   10;   7;eor
       5839;1997070114;   10;   7;eor
       5839;1997070121;   10;   6;eor
       5839;1997070207;   10;   7;eor
       5839;1997070214;   10;   8;eor
       5839;1997070221;   10;   7;eor
       5839;1997070307;   10;   7;eor
       5839;1997070314;   10;   7;eor
       5839;1997070321;   10;   7;eor
       5839;1997070407;   10;   7;eor
       5839;1997070414;   10;   7;eor
       5839;1997070421;   10;   7;eor
       5839;1997070507;   10;   6;eor
       5839;1997070514;   10;   8;eor
       5839;1997070521;   10;   6;eor
       5839;1997070607;   10;   8;eor
       5839;1997070614;   10;   7;eor
       5839;1997070621;   10;   7;eor
       5839;1997070707;   10;   7;eor
       5839;1997070714;   10;   8;eor
       5839;1997070721;   10;   7;eor
       5839;1997070807;   10;   7;eor
       5839;1997070814;   10;   8;eor
       5839;1997070821;   10;   7;eor
       5839;1997070907;   10;   8;eor
       5839;1997070914;   10;   8;eor
       5839;1997070921;   10;   8;eor
       5839;1997071007;   10;   7;eor
       5839;1997071014;   10;   8;eor
       5839;1997071021;   10;   8;eor
       5839;1997071107;   10;   8;eor
       5839;1997071114;   10;   9;eor
       5839;1997071121;   10;   8;eor
       5839;1997071207;   10;   8;eor
       5839;1997071214;   10;   8;eor
       5839;1997071221;   10;   8;eor
       5839;1997071307;   10;   7;eor
       5839;1997071314;   10;   8;eor
       5839;1997071321;   10;   8;eor
       5839;1997071407;   10;   7;eor
       5839;1997071414;   10;   7;eor
       5839;1997071421;   10;   7;eor
       5839;1997071507;   10;   5;eor
       5839;1997071514;   10;   8;eor
       5839;1997071521;   10;   8;eor
       5839;1997071607;   10;   6;eor
       5839;1997071614;   10;   6;eor
       5839;1997071621;   10;   6;eor
       5839;1997071707;   10;   6;eor
       5839;1997071714;   10;   7;eor
       5839;1997071721;   10;   7;eor
       5839;1997071807;   10;   7;eor
       5839;1997071814;   10;   7;eor
       5839;1997071821;   10;   7;eor
       5839;1997071907;   10;   7;eor
       5839;1997071914;   10;   8;eor
       5839;1997071921;   10;   8;eor
       5839;1997072007;   10;   8;eor
       5839;1997072014;   10;   8;eor
       5839;1997072021;   10;   7;eor
       5839;1997072107;   10;   8;eor
       5839;1997072114;   10;   6;eor
       5839;1997072121;   10;   7;eor
       5839;1997072207;   10;   7;eor
       5839;1997072214;   10;   8;eor
       5839;1997072221;   10;   6;eor
       5839;1997072307;   10;   5;eor
       5839;1997072314;   10;   7;eor
       5839;1997072321;   10;   5;eor
       5839;1997072407;   10;   5;eor
       5839;1997072414;   10;   7;eor
       5839;1997072421;   10;   7;eor
       5839;1997072507;   10;   6;eor
       5839;1997072514;   10;   6;eor
       5839;1997072521;   10;   6;eor
       5839;1997072607;   10;   6;eor
       5839;1997072614;   10;   8;eor
       5839;1997072621;   10;   8;eor
       5839;1997072707;   10;   6;eor
       5839;1997072714;   10;   7;eor
       5839;1997072721;   10;   8;eor
       5839;1997072807;   10;   6;eor
       5839;1997072814;   10;   8;eor
       5839;1997072821;   10;   8;eor
       5839;1997072907;   10;   7;eor
       5839;1997072914;   10;   8;eor
       5839;1997072921;   10;   7;eor
       5839;1997073007;   10;   6;eor
       5839;1997073014;   10;   7;eor
       5839;1997073021;   10;   7;eor
       5839;1997073107;   10;   7;eor
       5839;1997073114;   10;   8;eor
       5839;1997073121;   10;   6;eor
       5839;1997080107;   10;   7;eor
       5839;1997080114;   10;   8;eor
       5839;1997080121;   10;   8;eor
       5839;1997080207;   10;   5;eor
       5839;1997080214;   10;   7;eor
       5839;1997080221;   10;   8;eor
       5839;1997080307;   10;   8;eor
       5839;1997080314;   10;   8;eor
       5839;1997080321;   10;   8;eor
       5839;1997080407;   10;   8;eor
       5839;1997080414;   10;   8;eor
       5839;1997080421;   10;   8;eor
       5839;1997080507;   10;   8;eor
       5839;1997080514;   10;   8;eor
       5839;1997080521;   10;   8;eor
       5839;1997080607;   10;   8;eor
       5839;1997080614;   10;   8;eor
       5839;1997080621;   10;   8;eor
       5839;1997080707;   10;   7;eor
       5839;1997080714;   10;   8;eor
       5839;1997080721;   10;   8;eor
       5839;1997080807;   10;   7;eor
       5839;1997080814;   10;   8;eor
       5839;1997080821;   10;   8;eor
       5839;1997080907;   10;   6;eor
       5839;1997080914;   10;   8;eor
       5839;1997080921;   10;   8;eor
       5839;1997081007;   10;   7;eor
       5839;1997081014;   10;   8;eor
       5839;1997081021;   10;   8;eor
       5839;1997081107;   10;   8;eor
       5839;1997081114;   10;   8;eor
       5839;1997081121;   10;   8;eor
       5839;1997081207;   10;   8;eor
       5839;1997081214;   10;   8;eor
       5839;1997081221;   10;   8;eor
       5839;1997081307;   10;   7;eor
       5839;1997081314;   10;   8;eor
       5839;1997081321;   10;   8;eor
       5839;1997081407;   10;   6;eor
       5839;1997081414;   10;   7;eor
       5839;1997081421;   10;   6;eor
       5839;1997081507;   10;   6;eor
       5839;1997081514;   10;   6;eor
       5839;1997081521;   10;   6;eor
       5839;1997081607;   10;   4;eor
       5839;1997081614;   10;   7;eor
       5839;1997081621;   10;   7;eor
       5839;1997081707;   10;   6;eor
       5839;1997081714;   10;   7;eor
       5839;1997081721;   10;   7;eor
       5839;1997081807;   10;   5;eor
       5839;1997081814;   10;   8;eor
       5839;1997081821;   10;   6;eor
       5839;1997081907;   10;   6;eor
       5839;1997081914;   10;   7;eor
       5839;1997081921;   10;   7;eor
       5839;1997082007;   10;   7;eor
       5839;1997082014;   10;   8;eor
       5839;1997082021;   10;   7;eor
       5839;1997082107;   10;   6;eor
       5839;1997082114;   10;   7;eor
       5839;1997082121;   10;   7;eor
       5839;1997082207;   10;   5;eor
       5839;1997082214;   10;   4;eor
       5839;1997082221;   10;   6;eor
       5839;1997082307;   10;   5;eor
       5839;1997082314;   10;   7;eor
       5839;1997082321;   10;   7;eor
       5839;1997082407;   10;   6;eor
       5839;1997082414;   10;   6;eor
       5839;1997082421;   10;   6;eor
       5839;1997082507;   10;   6;eor
       5839;1997082514;   10;   7;eor
       5839;1997082521;   10;   7;eor
       5839;1997082607;   10;   7;eor
       5839;1997082614;   10;   8;eor
       5839;1997082621;   10;   7;eor
       5839;1997082707;   10;   8;eor
       5839;1997082714;   10;   7;eor
       5839;1997082721;   10;   6;eor
       5839;1997082807;   10;   5;eor
       5839;1997082814;   10;   6;eor
       5839;1997082821;   10;   7;eor
       5839;1997082907;   10;   7;eor
