date;prev_temp;prev_hum;temp;humidity;coverage;coverage_percent;range;wind_dir;wind_str;wind_str_metric;prec
010100;10.1;94.0;9.5;92.0;8;100.0;7.0;24;5;9.35;2.9
010106;4.154999999999999;88.85;3.6450000000000005;90.4;6;80.0;6.3;18;4;5.7875;3.525
010107;0.9652173913043478;87.21739130434783;0.4478260869565217;89.04347826086956;6;77.44565217391305;5.586956521739131;16;4;7.297826086956522;3.104347826086957
010112;3.6450000000000005;90.4;4.475;87.55;6;77.5;6.6;18;4;5.7225;3.525
010114;0.775;89.05357142857143;1.8392857142857142;86.94642857142857;6;80.80357142857143;6.196428571428571;17;4;6.611607142857143;3.335714285714286
010118;4.475;87.55;4.13;86.45;7;83.125;6.85;18;4;6.36;3.525
010121;1.868888888888889;86.11111111111111;0.82;88.13333333333334;5;63.611111111111114;5.844444444444444;17;4;6.082222222222222;3.086666666666667
010200;12.7;85.0;11.9;86.0;8;100.0;8.0;20;3;4.4;16.4
010206;4.09;86.5;3.935;88.6;6;73.125;6.75;21;4;6.445;3.16
010207;0.8086956521739129;87.91304347826087;0.85;88.8913043478261;6;73.91304347826087;5.673913043478261;18;4;6.913043478260869;2.9065217391304343
010212;3.935;88.6;4.21;83.3;6;72.5;7.05;18;4;6.657500000000001;3.16
010214;1.0303571428571427;89.375;2.1535714285714285;85.67857142857143;6;78.79464285714286;6.214285714285714;18;4;6.489285714285714;2.6625
010218;4.21;83.3;3.09;85.25;6;68.75;7.5;18;4;6.55;3.16
010221;2.071111111111111;85.04444444444445;1.5177777777777777;88.91111111111111;6;75.0;5.822222222222222;17;4;6.28;2.9399999999999995
010300;9.0;88.0;9.1;91.0;7;87.5;7.0;20;2;2.45;0.1
010306;3.0949999999999998;85.4;2.275;87.2;7;83.125;7.15;17;4;7.225;4.25
010307;1.5177777777777777;88.91111111111111;1.2422222222222221;89.28888888888889;6;78.33333333333333;5.8;18;4;6.334444444444444;2.291111111111111
010312;2.275;87.2;3.06;85.65;7;88.125;6.95;18;4;7.0200000000000005;4.25
010314;1.4875;89.08928571428571;2.1535714285714285;85.19642857142857;6;71.875;6.142857142857143;18;4;6.416964285714286;2.3214285714285716
010318;3.06;85.65;2.96;87.55;7;83.125;6.8;19;4;6.765000000000001;4.25
010321;1.9733333333333332;85.86666666666666;0.6644444444444444;87.33333333333333;5;57.5;5.711111111111111;18;4;6.508888888888889;2.291111111111111
010400;8.8;81.0;8.1;86.0;8;100.0;8.0;20;4;6.7;4.2
010406;2.925;87.8;2.0100000000000002;88.9;7;85.625;6.55;19;4;7.67;2.435
010407;0.6644444444444444;87.33333333333333;0.1533333333333333;89.22222222222223;6;71.66666666666667;5.666666666666667;19;4;6.842222222222223;2.1644444444444444
010412;2.0100000000000002;88.9;2.55;84.85;6;77.5;6.9;17;4;7.57;2.435
010414;0.6910714285714284;87.89285714285714;1.344642857142857;84.78571428571429;6;77.00892857142857;6.017857142857143;18;4;6.450892857142857;2.180357142857143
010418;2.55;84.85;2.2649999999999997;84.8;7;84.375;6.55;18;4;7.1850000000000005;2.435
010421;1.231111111111111;84.0;0.8044444444444445;88.55555555555556;6;71.38888888888889;5.822222222222222;20;4;5.945555555555556;2.1644444444444444
010500;4.5;76.0;3.4;82.0;1;12.5;8.0;20;3;4.4;5.3
010506;2.21;85.1;1.6;86.75;6;74.375;6.45;17;4;7.8875;2.395
010507;0.8044444444444445;88.55555555555556;0.42;89.8;6;74.44444444444444;5.666666666666667;18;3;5.71;3.2577777777777777
010512;1.6;86.75;2.43;86.4;7;83.75;6.7;17;4;7.277500000000001;2.395
010514;0.6928571428571428;89.44642857142857;1.8285714285714287;87.92857142857143;6;77.45535714285714;5.714285714285714;18;4;6.291071428571429;3.3249999999999997
010518;2.43;86.4;2.305;85.55;6;76.25;6.75;17;4;6.9475;2.395
010521;1.5688888888888888;88.42222222222222;1.248888888888889;90.4;6;78.05555555555556;5.4;17;4;6.58;3.2577777777777777
010600;6.0;78.0;3.8;71.0;0;0.0;8.0;28;4;6.7;0.8
010606;2.195;85.2;1.735;89.15;6;80.0;6.45;17;4;6.067500000000001;1.855
010607;1.248888888888889;90.4;0.708888888888889;90.37777777777778;6;80.27777777777777;5.488888888888889;19;4;5.874444444444445;2.2133333333333334
010612;1.735;89.15;2.71;86.9;6;76.25;6.45;20;4;6.215;1.855
010614;1.1375;89.5;1.6232142857142857;86.41071428571429;6;80.35714285714286;5.803571428571429;18;4;6.364285714285715;2.35
010618;2.71;86.9;2.5300000000000002;87.9;6;80.625;6.75;17;4;6.285;1.855
010621;1.537777777777778;86.57777777777778;0.6066666666666666;88.93333333333334;6;76.38888888888889;5.5777777777777775;18;4;5.988888888888889;2.2133333333333334
010700;2.9;85.0;3.2;86.0;7;87.5;7.0;16;3;4.4;0.7
010706;2.545;87.95;2.335;90.0;7;86.25;6.5;18;4;5.945;1.61
010707;0.6760869565217391;88.97826086956522;0.5956521739130435;87.93478260869566;7;84.51086956521739;5.717391304347826;18;4;6.414130434782609;1.9869565217391305
010712;2.335;90.0;3.415;87.8;7;82.5;6.25;19;3;5.515000000000001;1.61
010714;0.8089285714285713;87.44642857142857;1.5214285714285711;87.21428571428571;6;80.13392857142857;5.928571428571429;17;4;6.5633928571428575;2.0678571428571426
010718;3.415;87.8;3.5700000000000003;89.0;7;85.625;6.5;18;4;6.205;1.61
010721;1.4355555555555555;85.77777777777777;0.9;88.4888888888889;6;77.5;5.511111111111111;17;4;6.192222222222222;2.013333333333333
010800;3.1;89.0;2.2;91.0;7;87.5;8.0;20;3;4.4;2.0
010806;3.525;89.1;3.35;87.15;6;78.125;6.8;18;4;6.12;1.735
010807;0.9;88.4888888888889;0.6711111111111111;89.84444444444445;6;79.72222222222223;5.4;18;4;6.012222222222222;2.2555555555555555
010812;3.35;87.15;3.995;83.85;7;83.75;6.9;19;4;6.665000000000001;1.735
010814;0.9071428571428571;90.48214285714286;1.5232142857142856;87.78571428571429;6;80.35714285714286;5.821428571428571;17;4;6.025892857142857;2.0678571428571426
010818;3.995;83.85;3.3;83.95;7;81.875;7.05;18;4;6.335;1.735
010821;1.4422222222222223;88.0;0.8355555555555556;90.55555555555556;6;80.83333333333333;5.4222222222222225;18;4;6.5344444444444445;2.2555555555555555
010900;2.6;86.0;2.6;91.0;8;100.0;7.0;16;4;6.7;2.3
010906;3.3;84.2;2.58;87.3;6;73.75;6.5;17;4;6.1975;1.54
010907;0.8355555555555556;90.55555555555556;0.5577777777777777;91.08888888888889;7;86.94444444444444;5.644444444444445;16;4;6.224444444444445;2.126666666666667
010912;2.58;87.3;3.9450000000000003;84.65;6;77.5;6.6;19;4;6.085;1.54
010914;0.8125;90.26785714285714;1.7660714285714287;86.01785714285714;6;78.34821428571429;6.125;16;4;6.128571428571428;2.3446428571428575
010918;3.9450000000000003;84.65;3.4850000000000003;85.8;6;70.625;6.9;19;4;6.315;1.54
010921;1.5911111111111114;85.95555555555555;0.8644444444444445;89.75555555555556;6;74.72222222222223;5.5777777777777775;15;3;5.335555555555556;2.126666666666667
011000;6.0;87.0;4.9;88.0;8;100.0;8.0;24;3;4.4;0.0
