date;prev_temp;prev_hum;temp;humidity;coverage;coverage_percent;range;wind_dir;wind_str;wind_str_metric;prec
010106;1.6166666666666665;93.33333333333333;1.6833333333333333;92.33333333333333;6;70.83333333333333;7.333333333333333;21;2;3.3166666666666664;0.7166666666666667
010112;1.6833333333333333;92.33333333333333;2.5166666666666666;87.83333333333333;5;66.66666666666667;7.333333333333333;17;2;3.0833333333333335;0.7166666666666667
010118;2.5166666666666666;87.83333333333333;1.2666666666666666;91.83333333333333;6;79.16666666666667;6.833333333333333;18;2;2.3833333333333333;0.7166666666666667
010206;1.2666666666666666;91.83333333333333;-0.20000000000000007;91.66666666666667;5;58.333333333333336;7.333333333333333;15;2;2.191666666666667;0.43333333333333335
010212;-0.20000000000000007;91.66666666666667;1.3;85.0;4;45.833333333333336;7.666666666666667;15;1;1.4750000000000003;0.43333333333333335
010218;1.3;85.0;-0.5166666666666666;94.33333333333333;4;45.833333333333336;6.833333333333333;10;2;2.441666666666667;0.43333333333333335
010306;-0.5166666666666666;94.33333333333333;-1.2333333333333334;90.16666666666667;5;66.66666666666667;6.666666666666667;9;2;3.466666666666667;0.9666666666666667
010312;-1.2333333333333334;90.16666666666667;0.33333333333333326;87.5;6;70.83333333333333;6.333333333333333;14;2;3.4166666666666665;0.9666666666666667
010318;0.33333333333333326;87.5;-0.5;94.66666666666667;7;85.41666666666667;6.0;14;2;3.725;0.9666666666666667
010406;-0.5;94.66666666666667;1.05;93.66666666666667;8;95.83333333333333;5.666666666666667;16;2;3.983333333333333;1.0166666666666668
010412;1.05;93.66666666666667;1.4666666666666668;91.5;7;89.58333333333333;6.666666666666667;17;3;4.05;1.0166666666666668
010418;1.4666666666666668;91.5;0.9;90.0;8;95.83333333333333;6.666666666666667;13;3;4.958333333333333;1.0166666666666668
010506;0.9;90.0;0.08333333333333341;85.83333333333333;7;83.33333333333333;6.833333333333333;15;3;5.283333333333334;2.5166666666666666
010512;0.08333333333333341;85.83333333333333;1.2;85.5;7;85.41666666666667;7.0;14;3;4.516666666666667;2.5166666666666666
010518;1.2;85.5;0.5666666666666667;91.83333333333333;6;79.16666666666667;6.5;12;3;4.183333333333334;2.5166666666666666
010606;0.5666666666666667;91.83333333333333;0.2499999999999999;96.66666666666667;7;83.33333333333333;6.166666666666667;15;2;2.516666666666667;0.3833333333333333
010612;0.2499999999999999;96.66666666666667;1.9666666666666668;93.33333333333333;7;89.58333333333333;6.333333333333333;14;2;2.7083333333333335;0.3833333333333333
010618;1.9666666666666668;93.33333333333333;1.383333333333333;90.16666666666667;8;95.83333333333333;6.333333333333333;16;2;3.5500000000000003;0.3833333333333333
010706;1.383333333333333;90.16666666666667;0.65;92.33333333333333;6;77.08333333333333;6.833333333333333;15;2;2.7750000000000004;1.6000000000000003
010712;0.65;92.33333333333333;1.8166666666666667;89.0;6;72.91666666666667;6.833333333333333;15;2;3.2916666666666665;1.6000000000000003
010718;1.8166666666666667;89.0;1.0833333333333333;90.83333333333333;7;85.41666666666667;6.833333333333333;20;2;3.858333333333333;1.6000000000000003
010806;1.0833333333333333;90.83333333333333;0.8999999999999999;92.66666666666667;5;66.66666666666667;6.666666666666667;13;3;4.116666666666666;1.4833333333333334
010812;0.8999999999999999;92.66666666666667;2.15;90.16666666666667;6;68.75;7.166666666666667;15;3;4.458333333333333;1.4833333333333334
010818;2.15;90.16666666666667;1.616666666666667;89.83333333333333;6;79.16666666666667;7.5;16;3;3.75;1.4833333333333334
010906;1.616666666666667;89.83333333333333;1.7166666666666668;90.16666666666667;6;72.91666666666667;7.0;15;3;5.016666666666667;2.433333333333333
010912;1.7166666666666668;90.16666666666667;3.25;85.0;6;75.0;7.166666666666667;15;3;5.691666666666666;2.433333333333333
010918;3.25;85.0;2.6999999999999997;86.66666666666667;6;72.91666666666667;7.166666666666667;16;3;5.25;2.433333333333333
011006;2.6999999999999997;86.66666666666667;2.6999999999999997;94.16666666666667;7;89.58333333333333;6.166666666666667;16;3;5.708333333333333;3.6833333333333336
011012;2.6999999999999997;94.16666666666667;3.15;90.66666666666667;7;91.66666666666667;5.333333333333333;17;4;6.458333333333333;3.6833333333333336
011018;3.15;90.66666666666667;3.016666666666667;86.83333333333333;6;75.0;6.833333333333333;15;4;6.608333333333333;3.6833333333333336
011106;3.016666666666667;86.83333333333333;1.8333333333333333;90.0;6;81.25;6.833333333333333;15;3;5.408333333333334;4.1
011112;1.8333333333333333;90.0;2.6666666666666665;89.0;7;85.41666666666667;6.666666666666667;16;4;7.766666666666667;4.1
011118;2.6666666666666665;89.0;4.0;84.0;7;85.41666666666667;6.666666666666667;15;4;5.7250000000000005;4.1
011206;4.0;84.0;3.6666666666666665;84.33333333333333;5;66.66666666666667;6.833333333333333;19;3;5.691666666666666;1.0666666666666667
011212;3.6666666666666665;84.33333333333333;3.4499999999999997;87.16666666666667;7;91.66666666666667;6.166666666666667;19;3;5.083333333333333;1.0666666666666667
011218;3.4499999999999997;87.16666666666667;3.1999999999999997;90.5;8;93.75;6.5;17;3;5.191666666666667;1.0666666666666667
011306;3.1999999999999997;90.5;2.3166666666666664;94.16666666666667;7;83.33333333333333;6.166666666666667;13;2;3.858333333333333;1.4666666666666668
011312;2.3166666666666664;94.16666666666667;3.4166666666666665;92.5;8;93.75;5.5;15;3;5.2250000000000005;1.4666666666666668
011318;3.4166666666666665;92.5;3.5;93.66666666666667;8;100.0;6.0;15;3;4.966666666666667;1.4666666666666668
011406;3.5;93.66666666666667;2.0;90.16666666666667;5;66.66666666666667;5.833333333333333;16;3;4.608333333333333;1.1333333333333333
011412;2.0;90.16666666666667;3.5833333333333335;86.66666666666667;6;77.08333333333333;5.666666666666667;17;2;3.733333333333333;1.1333333333333333
011418;3.5833333333333335;86.66666666666667;3.1833333333333336;89.83333333333333;6;81.25;5.5;17;3;3.9333333333333336;1.1333333333333333
011506;3.1833333333333336;89.83333333333333;1.9666666666666666;93.66666666666667;6;75.0;6.333333333333333;14;2;2.8333333333333335;2.6666666666666665
011512;1.9666666666666666;93.66666666666667;3.5666666666666664;90.83333333333333;6;77.08333333333333;6.333333333333333;17;2;3.6750000000000003;2.6666666666666665
011518;3.5666666666666664;90.83333333333333;2.8666666666666667;92.0;7;87.5;5.333333333333333;13;2;3.6583333333333337;2.6666666666666665
011606;2.8666666666666667;92.0;2.6666666666666665;91.5;7;85.41666666666667;6.5;15;3;4.7;1.75
011612;2.6666666666666665;91.5;3.9;87.66666666666667;6;79.16666666666667;6.5;15;4;6.05;1.75
011618;3.9;87.66666666666667;3.1833333333333336;89.83333333333333;6;77.08333333333333;6.666666666666667;13;3;4.95;1.75
011706;3.1833333333333336;89.83333333333333;2.9499999999999997;91.83333333333333;8;100.0;6.333333333333333;16;3;4.458333333333333;4.633333333333334
011712;2.9499999999999997;91.83333333333333;3.283333333333333;95.0;8;100.0;4.0;14;3;3.9916666666666667;4.633333333333334
011718;3.283333333333333;95.0;3.65;96.33333333333333;8;100.0;5.333333333333333;13;2;3.483333333333334;4.633333333333334
011806;3.65;96.33333333333333;2.716666666666667;94.16666666666667;8;93.75;6.333333333333333;22;2;3.8000000000000003;5.1499999999999995
011812;2.716666666666667;94.16666666666667;3.1166666666666667;96.16666666666667;8;100.0;5.666666666666667;11;2;3.9250000000000003;5.1499999999999995
011818;3.1166666666666667;96.16666666666667;3.266666666666667;94.83333333333333;8;100.0;5.5;16;3;5.583333333333333;5.1499999999999995
011906;3.266666666666667;94.83333333333333;2.766666666666666;94.16666666666667;6;79.16666666666667;6.333333333333333;13;3;4.241666666666667;4.566666666666666
011912;2.766666666666666;94.16666666666667;3.5;89.5;6;81.25;7.166666666666667;17;3;4.583333333333333;4.566666666666666
011918;3.5;89.5;2.4499999999999997;93.33333333333333;6;75.0;7.0;13;3;4.566666666666667;4.566666666666666
012006;2.4499999999999997;93.33333333333333;3.533333333333333;96.16666666666667;8;97.91666666666667;6.0;17;3;4.258333333333334;2.1333333333333333
012012;3.533333333333333;96.16666666666667;3.6166666666666667;93.5;8;97.91666666666667;6.166666666666667;18;3;4.7;2.1333333333333333
012018;3.6166666666666667;93.5;2.6666666666666665;91.16666666666667;7;83.33333333333333;5.666666666666667;14;2;4.3;2.1333333333333333
012106;2.6666666666666665;91.16666666666667;1.3333333333333333;95.66666666666667;6;75.0;6.166666666666667;13;2;3.858333333333333;2.733333333333333
012112;1.3333333333333333;95.66666666666667;1.9500000000000002;91.0;6;81.25;6.0;19;3;4.575;2.733333333333333
012118;1.9500000000000002;91.0;0.5666666666666668;91.33333333333333;6;75.0;6.166666666666667;13;2;3.741666666666667;2.733333333333333
012206;0.5666666666666668;91.33333333333333;-0.25000000000000006;89.5;5;60.416666666666664;6.5;15;3;4.125;0.45
012212;-0.25000000000000006;89.5;0.3;79.0;5;60.416666666666664;7.0;15;3;3.9333333333333336;0.45
012218;0.3;79.0;-1.3499999999999999;87.16666666666667;4;52.083333333333336;6.5;16;2;2.5083333333333333;0.45
012306;-1.3499999999999999;87.16666666666667;-1.0000000000000002;89.33333333333333;7;83.33333333333333;6.333333333333333;12;2;3.4166666666666665;1.2666666666666666
012312;-1.0000000000000002;89.33333333333333;-0.8999999999999999;89.0;7;83.33333333333333;5.333333333333333;18;3;5.083333333333333;1.2666666666666666
