date;season;prev_temp;prev_hum;temp;humidity;coverage;range;wind_dir;wind_str;prec
010107;4.0;-3.6916666666666664;-999.0;-4.05;-999.0;5;-163.58333333333334;18;2;2.1
010114;4.0;-4.05;-999.0;-0.19166666666666657;-999.0;6;6.75;14;2;2.1
010121;4.0;-0.19166666666666657;-999.0;-1.6666666666666667;-999.0;6;-165.0;14;2;2.1
010207;4.0;-1.6666666666666667;-999.0;-2.391666666666667;-999.0;5;-163.58333333333334;16;2;4.833333333333333
010214;4.0;-2.391666666666667;-999.0;0.5833333333333334;-999.0;7;6.666666666666667;22;2;4.833333333333333
010221;4.0;0.5833333333333334;-999.0;-0.5833333333333333;-999.0;6;-165.16666666666666;21;2;4.833333333333333
010307;4.0;-0.5833333333333333;-999.0;-1.9166666666666667;-999.0;6;-163.66666666666666;17;2;2.5
010314;4.0;-1.9166666666666667;-999.0;-0.09999999999999998;-999.0;6;6.0;16;2;2.5
010321;4.0;-0.09999999999999998;-999.0;-1.7499999999999998;-999.0;7;-165.33333333333334;16;2;2.5
010407;4.0;-1.7499999999999998;-999.0;-2.2583333333333333;-999.0;7;-163.33333333333334;10;2;2.725
010414;4.0;-2.2583333333333333;-999.0;0.3833333333333333;-999.0;6;6.416666666666667;12;2;2.725
010421;4.0;0.3833333333333333;-999.0;-2.408333333333333;-999.0;5;-164.91666666666666;18;2;2.725
010507;4.0;-2.408333333333333;-999.0;-3.1999999999999997;-999.0;6;-163.25;8;2;1.8666666666666665
010514;4.0;-3.1999999999999997;-999.0;0.07499999999999989;-999.0;5;6.666666666666667;13;2;1.8666666666666665
010521;4.0;0.07499999999999989;-999.0;-1.625;-999.0;5;-165.33333333333334;15;2;1.8666666666666665
010607;4.0;-1.625;-999.0;-3.1333333333333333;-999.0;5;-164.16666666666666;17;2;0.75
010614;4.0;-3.1333333333333333;-999.0;0.1166666666666667;-999.0;5;6.5;12;2;0.75
010621;4.0;0.1166666666666667;-999.0;-3.1500000000000004;-999.0;5;-165.08333333333334;13;2;0.75
010707;4.0;-3.1500000000000004;-999.0;-3.875;-999.0;6;-163.75;20;2;0.9916666666666667
010714;4.0;-3.875;-999.0;0.2333333333333333;-999.0;6;6.166666666666667;16;2;0.9916666666666667
010721;4.0;0.2333333333333333;-999.0;-2.3666666666666667;-999.0;5;-165.33333333333334;15;1;0.9916666666666667
010807;4.0;-2.3666666666666667;-999.0;-3.3166666666666664;-999.0;5;-164.08333333333334;12;1;0.8249999999999998
010814;4.0;-3.3166666666666664;-999.0;0.6416666666666667;-999.0;5;6.333333333333333;17;1;0.8249999999999998
010821;4.0;0.6416666666666667;-999.0;-2.6916666666666664;-999.0;4;-165.16666666666666;16;2;0.8249999999999998
010907;4.0;-2.6916666666666664;-999.0;-3.7416666666666667;-999.0;4;-163.41666666666666;13;1;2.2333333333333334
