date;prev_temp;prev_hum;temp;humidity;coverage;range;wind_dir;wind_str;prec
010100;-2.3428571428571425;86.85714285714286;-2.7714285714285714;88.42857142857143;5;6.714285714285714;16;3;0.6142857142857142
010106;0.43076923076923074;87.65384615384616;0.44615384615384607;87.88461538461539;6;6.769230769230769;18;3;1.4807692307692308
010107;-1.1769230769230767;88.34615384615384;-2.180769230769231;90.38461538461539;6;6.423076923076923;16;3;1.2153846153846155
010112;0.44615384615384607;87.88461538461539;1.6615384615384616;83.8076923076923;6;6.6923076923076925;18;3;1.4807692307692308
010114;-2.180769230769231;90.38461538461539;-0.17307692307692302;84.8076923076923;6;6.576923076923077;14;3;1.2153846153846155
010118;1.6615384615384616;83.8076923076923;0.9576923076923077;87.11538461538461;6;6.6923076923076925;17;3;1.4807692307692308
010121;-0.35999999999999993;84.96;-1.016;87.8;6;6.28;15;3;1.26
010200;-3.014285714285714;88.71428571428571;-3.2285714285714286;91.71428571428571;6;5.857142857142857;15;2;2.442857142857143
010206;0.8642857142857144;88.0;-0.15357142857142866;89.14285714285714;7;6.535714285714286;16;2;1.6214285714285714
010207;-0.8038461538461539;87.53846153846153;-1.2923076923076924;88.96153846153847;6;6.538461538461538;16;3;1.2269230769230768
010212;-0.36666666666666675;89.55555555555556;1.1814814814814814;84.14814814814815;6;6.62962962962963;20;2;1.5925925925925926
010214;-1.2923076923076924;88.96153846153847;0.6692307692307692;85.5;6;6.538461538461538;16;3;1.2269230769230768
010218;1.419230769230769;83.6923076923077;0.37307692307692303;86.03846153846153;5;6.6923076923076925;17;3;1.7153846153846155
010221;0.352;86.12;-0.4919999999999999;90.88;6;6.2;16;3;1.276
010300;-1.3428571428571427;89.42857142857143;-3.2857142857142856;89.42857142857143;4;5.857142857142857;14;2;0.7000000000000001
010306;-0.137037037037037;86.48148148148148;-1.1555555555555554;91.22222222222223;6;6.2592592592592595;16;3;2.303703703703704
010307;-0.14230769230769225;90.07692307692308;-0.3846153846153845;89.57692307692308;6;6.346153846153846;19;3;1.646153846153846
010312;-1.1555555555555554;91.22222222222223;0.9185185185185184;85.25925925925925;6;6.62962962962963;18;3;2.303703703703704
010314;-0.3846153846153845;89.57692307692308;1.1884615384615385;85.07692307692308;6;6.8076923076923075;18;3;1.646153846153846
