date;prev_temp;prev_hum;temp;humidity;coverage;range;wind_dir;wind_str;prec
010100;11.9;90.0;11.5;91.0;7;7.0;20;3;8.7
010106;4.319047619047619;91.19047619047619;3.5714285714285716;93.9047619047619;7;5.809523809523809;18;3;3.2047619047619045
010107;4.0;94.5;2.8;93.25;8;5.25;16;4;1.275
010112;3.5714285714285716;93.9047619047619;4.4904761904761905;88.9047619047619;7;6.428571428571429;18;3;3.2047619047619045
010114;2.8;93.25;5.1;91.25;6;6.5;18;4;1.275
010118;4.4904761904761905;88.9047619047619;3.5999999999999996;88.80952380952381;7;6.9523809523809526;19;3;3.2047619047619045
010121;5.1;91.25;3.65;93.75;4;6.25;18;3;1.275
010200;11.9;88.0;10.9;92.0;8;8.0;16;3;11.4
010206;3.552380952380952;89.0;3.7952380952380955;89.71428571428571;7;7.190476190476191;20;3;3.066666666666667
010207;3.65;93.75;4.5;97.0;8;6.0;17;4;1.725
010212;3.745;89.55;4.455;85.4;6;6.95;19;3;2.57
010214;4.5;97.0;7.6;92.25;8;6.25;17;4;1.725
010218;4.4714285714285715;85.76190476190476;2.4047619047619047;89.0952380952381;6;7.285714285714286;18;3;3.066666666666667
010221;7.6;92.25;7.075;94.0;6;7.0;17;4;1.725
010300;9.8;84.0;7.7;93.0;8;8.0;24;4;2.9
010306;2.15;89.7;2.3;90.4;7;7.05;19;3;2.5200000000000005
010307;7.075;94.0;6.425;95.75;8;7.0;17;4;8.325000000000001
010312;2.4476190476190474;90.19047619047619;4.090476190476191;86.76190476190476;7;7.190476190476191;19;4;2.8190476190476192
010314;6.425;95.75;7.125;91.0;6;6.5;18;4;8.325000000000001
010318;4.090476190476191;86.76190476190476;3.0619047619047617;87.28571428571429;6;6.904761904761905;20;4;2.8190476190476192
010321;7.125;91.0;5.375;92.5;5;6.75;22;4;8.325000000000001
010400;8.9;82.0;7.6;90.0;7;8.0;20;3;5.3
010406;3.0;87.66666666666667;2.4761904761904763;89.52380952380952;7;6.904761904761905;19;4;2.3380952380952382
010407;5.375;92.5;4.699999999999999;94.0;6;7.5;17;4;4.5249999999999995
010412;2.4761904761904763;89.52380952380952;3.604761904761905;85.47619047619048;7;6.714285714285714;19;4;2.3380952380952382
010414;4.699999999999999;94.0;6.95;95.0;8;6.0;16;4;4.5249999999999995
010418;3.604761904761905;85.47619047619048;2.6761904761904765;86.0;6;7.190476190476191;18;4;2.3380952380952382
010421;6.95;95.0;7.925;89.25;7;7.5;18;5;4.5249999999999995
010500;2.7;89.0;2.9;80.0;5;8.0;20;3;5.0
010506;2.535;84.95;1.985;89.25;6;7.0;18;3;1.3900000000000001
010507;7.925;89.25;6.075;89.5;6;7.0;18;4;3.875
010512;2.1619047619047618;89.66666666666667;3.3285714285714287;85.85714285714286;6;6.619047619047619;17;4;1.4380952380952383
010514;6.075;89.5;7.6000000000000005;88.0;7;7.0;17;4;3.875
010518;3.4799999999999995;87.05;3.06;88.95;7;6.8;17;4;1.5100000000000002
010521;7.6000000000000005;88.0;7.0249999999999995;89.25;4;7.75;19;4;3.875
010600;6.4;74.0;3.7;86.0;4;8.0;28;2;0.7
010606;2.645;87.85;1.94;91.85;7;6.1;20;3;2.1149999999999998
010607;7.0249999999999995;89.25;6.225;87.75;6;7.5;21;4;3.325
010612;2.1285714285714286;92.04761904761905;3.5476190476190474;86.71428571428571;6;6.857142857142857;18;3;2.033333333333333
010614;6.225;87.75;8.65;77.75;6;7.25;20;4;3.325
010618;3.5476190476190474;86.71428571428571;2.6999999999999997;89.0952380952381;7;6.809523809523809;18;3;2.033333333333333
010621;8.65;77.75;7.0;88.0;6;7.0;19;4;3.325
010700;3.9;85.0;3.3;83.0;7;8.0;16;4;0.3
010706;2.6714285714285713;89.0;2.0476190476190474;93.76190476190476;6;6.142857142857143;17;3;1.8238095238095238
010707;7.0;88.0;6.25;97.0;8;6.25;19;4;2.5749999999999997
010712;2.0476190476190474;93.76190476190476;3.9523809523809526;89.42857142857143;7;6.380952380952381;18;3;1.8238095238095238
010714;6.25;97.0;7.0;89.5;7;6.75;20;4;2.5749999999999997
010718;3.9523809523809526;89.42857142857143;3.4000000000000004;89.57142857142857;7;6.428571428571429;17;3;1.8238095238095238
010721;7.0;89.5;6.3;89.0;7;7.0;19;4;2.5749999999999997
010800;3.7;79.0;1.5;93.0;1;8.0;20;3;13.1
010806;3.2952380952380955;90.23809523809524;3.161904761904762;90.23809523809524;6;6.476190476190476;20;3;2.1095238095238096
010807;6.3;89.0;5.3;93.5;7;6.25;21;4;4.325
010812;3.161904761904762;90.23809523809524;4.642857142857143;84.42857142857143;7;6.904761904761905;19;4;2.1095238095238096
010814;5.3;93.5;5.925;96.0;8;6.25;19;3;4.325
010818;4.642857142857143;84.42857142857143;3.457142857142857;87.0;7;7.190476190476191;17;3;2.1095238095238096
010821;5.925;96.0;5.325;94.5;6;7.0;24;4;4.325
010900;2.5;91.0;3.7;94.0;7;7.0;16;4;1.2
010906;3.5142857142857142;87.14285714285714;2.947619047619048;89.57142857142857;6;6.809523809523809;18;3;1.6857142857142857
010907;5.325;94.5;4.9;93.25;6;7.5;24;3;0.0
010912;2.947619047619048;89.57142857142857;4.485714285714286;86.0952380952381;7;6.714285714285714;18;4;1.6857142857142857
010914;4.9;93.25;6.3;85.75;6;7.25;19;4;0.0
010918;4.485714285714286;86.0952380952381;3.3904761904761904;88.80952380952381;6;6.333333333333333;18;3;1.6857142857142857
010921;6.3;85.75;2.925;95.75;1;7.5;23;2;0.0
011000;4.4;90.0;3.0;92.0;0;8.0;24;2;0.0
011006;3.3238095238095235;88.9047619047619;3.5095238095238095;91.42857142857143;6;6.666666666666667;18;3;1.6666666666666667
011007;2.925;95.75;1.375;96.5;4;5.75;16;2;0.0
011012;3.5095238095238095;91.42857142857143;4.833333333333333;86.9047619047619;5;6.809523809523809;17;3;1.6666666666666667
011014;1.375;96.5;3.5500000000000003;87.75;6;5.75;13;2;0.0
011018;4.833333333333333;86.9047619047619;3.357142857142857;87.95238095238095;6;6.619047619047619;16;3;1.6666666666666667
011021;3.5500000000000003;87.75;1.0;93.25;4;6.25;11;3;0.0
011100;1.9;99.0;-0.2;100.0;8;1.0;16;2;0.7
011106;3.2571428571428567;88.0;2.7428571428571424;92.0952380952381;7;6.190476190476191;18;3;3.2666666666666666
011107;1.0;93.25;-1.45;95.0;2;7.25;17;2;0.25
011112;2.7428571428571424;92.0952380952381;4.5285714285714285;87.23809523809524;7;6.380952380952381;18;4;3.2666666666666666
011114;-1.45;95.0;3.975;75.0;4;7.25;15;3;0.25
011118;4.5285714285714285;87.23809523809524;4.642857142857143;86.80952380952381;7;6.761904761904762;20;3;3.2666666666666666
011121;3.975;75.0;2.0;89.75;5;7.5;23;3;0.25
011200;3.6;80.0;3.2;98.0;8;5.0;20;2;0.0
011206;4.623809523809523;87.66666666666667;3.9047619047619047;88.04761904761905;7;6.571428571428571;21;3;2.876190476190476
011207;2.0;89.75;1.35;92.25;5;7.5;22;3;0.1
011212;3.9047619047619047;88.04761904761905;4.909523809523809;86.42857142857143;7;6.571428571428571;18;4;2.876190476190476
011214;1.35;92.25;4.475;85.0;5;6.5;16;3;0.1
011218;4.909523809523809;86.42857142857143;4.204761904761905;87.95238095238095;7;6.714285714285714;18;3;2.876190476190476
011221;4.475;85.0;1.375;93.25;6;5.25;14;3;0.1
011300;4.6;98.0;5.6;100.0;8;5.0;24;3;0.0
011306;4.252380952380952;88.04761904761905;3.7952380952380955;91.85714285714286;7;6.333333333333333;18;4;2.8142857142857145
