datetime;value
2012051307;-999
2012051314;-999
2012051321;-999
2012051407;-999
2012051414;-999
2012051421;-999
2012051507;-999
2012051514;-999
2012051521;-999
2012051607;-999
2012051614;-999
2012051621;-999
2012051707;-999
2012051714;-999
2012051721;-999
2012051807;-999
2012051814;-999
2012051821;-999
2012051907;-999
2012051914;-999
2012051921;-999
2012052007;-999
2012052014;-999
2012052021;-999
2012052107;-999
2012052114;-999
2012052121;-999
2012052207;-999
2012052214;-999
2012052221;-999
2012052307;-999
2012052314;-999
2012052321;-999
2012052407;-999
2012052414;-999
2012052421;-999
2012052507;-999
2012052514;-999
2012052521;-999
2012052607;-999
2012052614;-999
2012052621;-999
2012052707;-999
2012052714;-999
2012052721;-999
2012052807;-999
2012052814;-999
2012052821;-999
2012052907;-999
2012052914;-999
2012052921;-999
2012053007;-999
2012053014;-999
2012053021;-999
2012053107;-999
2012053114;-999
2012053121;-999
2012060107;-999
2012060114;-999
2012060121;-999
2012060207;-999
2012060214;-999
2012060221;-999
2012060307;-999
2012060314;-999
2012060321;-999
2012060407;-999
2012060414;-999
2012060421;-999
2012060507;-999
2012060514;-999
2012060521;-999
2012060607;-999
2012060614;-999
2012060621;-999
2012060707;-999
2012060714;-999
2012060721;-999
2012060807;-999
2012060814;-999
2012060821;-999
2012060907;-999
2012060914;-999
2012060921;-999
2012061007;-999
2012061014;-999
2012061021;-999
2012061107;-999
2012061114;-999
2012061121;-999
2012061207;-999
2012061214;-999
2012061221;-999
2012061307;-999
2012061314;-999
2012061321;-999
2012061407;-999
2012061414;-999
2012061421;-999
2012061507;-999
2012061514;-999
2012061521;-999
2012061607;-999
2012061614;-999
2012061621;-999
2012061707;-999
2012061714;-999
2012061721;-999
2012061807;-999
2012061814;-999
2012061821;-999
2012061907;-999
2012061914;-999
2012061921;-999
2012062007;-999
2012062014;-999
2012062021;-999
2012062107;-999
2012062114;-999
2012062121;-999
2012062207;-999
2012062214;-999
2012062221;-999
2012062307;-999
2012062314;-999
2012062321;-999
2012062407;-999
2012062414;-999
2012062421;-999
2012062507;-999
2012062514;-999
2012062521;-999
2012062607;-999
2012062614;-999
2012062621;-999
2012062707;-999
