year;month;day;hour;value
1946;3;26;14;7
1946;3;26;21;6
1946;3;27;7;0
1946;3;27;14;0
1946;3;27;21;0
1946;3;28;7;0
1946;3;28;14;0
1946;3;28;21;0
1946;3;29;7;0
1946;3;29;14;4
1946;3;29;21;0
1946;3;30;7;3
1946;3;30;14;5
1946;3;30;21;0
1946;3;31;7;0
1946;3;31;14;1
1946;3;31;21;0
1946;4;1;7;0
1946;4;1;14;1
1946;4;1;21;0
1946;4;2;7;0
1946;4;2;14;0
1946;4;2;21;0
1946;4;3;7;0
1946;4;3;14;0
1946;4;3;21;0
1946;4;4;7;0
1946;4;4;14;0
1946;4;4;21;0
1946;4;5;7;2
1946;4;5;14;4
1946;4;5;21;4
1946;4;6;7;4
1946;4;6;14;5
1946;4;6;21;8
1946;4;7;7;8
1946;4;7;14;1
1946;4;7;21;0
1946;4;8;7;4
1946;4;8;14;3
1946;4;8;21;0
1946;4;9;7;3
1946;4;9;14;6
1946;4;9;21;7
1946;4;10;7;8
1946;4;10;14;8
1946;4;10;21;7
1946;4;11;7;7
1946;4;11;14;0
1946;4;11;21;0
1946;4;12;7;2
1946;4;12;14;3
1946;4;12;21;7
1946;4;13;7;1
1946;4;13;14;0
1946;4;13;21;1
1946;4;14;7;3
1946;4;14;14;1
1946;4;14;21;1
1946;4;15;7;0
1946;4;15;14;1
1946;4;15;21;3
1946;4;16;7;0
1946;4;16;14;1
1946;4;16;21;1
1946;4;17;7;0
1946;4;17;14;3
1946;4;17;21;1
1946;4;18;7;2
1946;4;18;14;2
1946;4;18;21;8
1946;4;19;7;8
1946;4;19;14;8
1946;4;19;21;3
1946;4;20;7;8
1946;4;20;14;0
1946;4;20;21;0
1946;4;21;7;0
1946;4;21;14;0
1946;4;21;21;0
1946;4;22;7;2
1946;4;22;14;3
1946;4;22;21;7
1946;4;23;7;8
1946;4;23;14;7
1946;4;23;21;0
1946;4;24;7;8
1946;4;24;14;1
1946;4;24;21;0
1946;4;25;7;3
1946;4;25;14;2
1946;4;25;21;1
1946;4;26;7;0
1946;4;26;14;1
1946;4;26;21;0
1946;4;27;7;2
1946;4;27;14;4
1946;4;27;21;2
1946;4;28;7;5
1946;4;28;14;2
1946;4;28;21;1
1946;4;29;7;1
1946;4;29;14;2
1946;4;29;21;1
1946;4;30;7;4
1946;4;30;14;4
1946;4;30;21;4
1946;5;1;7;1
1946;5;1;14;2
1946;5;1;21;1
1946;5;2;7;0
1946;5;2;14;2
1946;5;2;21;4
1946;5;3;7;3
1946;5;3;14;1
1946;5;3;21;1
1946;5;4;7;0
1946;5;4;14;2
1946;5;4;21;6
1946;5;5;7;3
1946;5;5;14;4
1946;5;5;21;2
1946;5;6;7;6
1946;5;6;14;2
1946;5;6;21;2
1946;5;7;7;8
1946;5;7;14;3
1946;5;7;21;5
1946;5;8;7;8
1946;5;8;14;6
1946;5;8;21;7
1946;5;9;7;7
1946;5;9;14;2
1946;5;9;21;0
1946;5;10;7;1
1946;5;10;14;0
1946;5;10;21;0
1946;5;11;7;1
1946;5;11;14;2
1946;5;11;21;2
1946;5;12;7;1
1946;5;12;14;6
1946;5;12;21;1
1946;5;13;7;6
1946;5;13;14;3
1946;5;13;21;2
1946;5;14;7;6
1946;5;14;14;4
1946;5;14;21;8
1946;5;15;7;8
1946;5;15;14;8
1946;5;15;21;8
1946;5;16;7;7
1946;5;16;14;7
1946;5;16;21;7
1946;5;17;7;7
1946;5;17;14;7
1946;5;17;21;8
1946;5;18;7;1
1946;5;18;14;1
1946;5;18;21;1
1946;5;19;7;1
1946;5;19;14;0
1946;5;19;21;1
1946;5;20;7;1
1946;5;20;14;1
1946;5;20;21;2
1946;5;21;7;4
1946;5;21;14;4
1946;5;21;21;7
1946;5;22;7;7
1946;5;22;14;5
1946;5;22;21;7
1946;5;23;7;2
1946;5;23;14;3
1946;5;23;21;6
1946;5;24;7;8
1946;5;24;14;4
1946;5;24;21;8
1946;5;25;7;8
1946;5;25;14;3
1946;5;25;21;3
1946;5;26;7;5
1946;5;26;14;6
1946;5;26;21;8
1946;5;27;7;8
1946;5;27;14;8
1946;5;27;21;7
1946;5;28;7;4
1946;5;28;14;1
1946;5;28;21;1
1946;5;29;7;0
1946;5;29;14;2
1946;5;29;21;3
1946;5;30;7;1
1946;5;30;14;6
1946;5;30;21;8
1946;5;31;7;7
1946;5;31;14;5
1946;5;31;21;2
1946;6;1;7;7
1946;6;1;14;3
1946;6;1;21;2
1946;6;2;7;8
1946;6;2;14;8
1946;6;2;21;2
1946;6;3;7;6
1946;6;3;14;3
1946;6;3;21;8
1946;6;4;7;5
1946;6;4;14;5
1946;6;4;21;2
1946;6;5;7;7
1946;6;5;14;2
1946;6;5;21;0
1946;6;6;7;0
1946;6;6;14;2
1946;6;6;21;2
1946;6;7;7;3
1946;6;7;14;2
1946;6;7;21;4
1946;6;8;7;1
1946;6;8;14;1
1946;6;8;21;1
1946;6;9;7;5
1946;6;9;14;7
1946;6;9;21;1
1946;6;10;7;5
1946;6;10;14;7
1946;6;10;21;6
1946;6;11;7;7
1946;6;11;14;6
1946;6;11;21;8
1946;6;12;7;5
1946;6;12;14;8
1946;6;12;21;8
1946;6;13;7;8
1946;6;13;14;2
1946;6;13;21;8
1946;6;14;7;8
1946;6;14;14;4
1946;6;14;21;6
1946;6;15;7;5
1946;6;15;14;7
1946;6;15;21;2
1946;6;16;7;4
1946;6;16;14;6
1946;6;16;21;6
1946;6;17;7;5
1946;6;17;14;7
1946;6;17;21;6
1946;6;18;7;7
1946;6;18;14;6
1946;6;18;21;6
1946;6;19;7;8
1946;6;19;14;6
1946;6;19;21;7
1946;6;20;7;7
1946;6;20;14;7
1946;6;20;21;8
1946;6;21;7;8
1946;6;21;14;8
1946;6;21;21;7
1946;6;22;7;8
1946;6;22;14;8
1946;6;22;21;8
1946;6;23;7;6
1946;6;23;14;6
1946;6;23;21;6
1946;6;24;7;7
1946;6;24;14;8
1946;6;24;21;8
1946;6;25;7;8
1946;6;25;14;7
1946;6;25;21;2
1946;6;26;7;2
1946;6;26;14;1
1946;6;26;21;8
1946;6;27;7;6
1946;6;27;14;5
1946;6;27;21;4
1946;6;28;7;0
1946;6;28;14;1
1946;6;28;21;1
1946;6;29;7;1
1946;6;29;14;1
1946;6;29;21;1
1946;6;30;7;1
1946;6;30;14;1
1946;6;30;21;1
1946;7;1;7;0
1946;7;1;14;1
1946;7;1;21;2
1946;7;2;7;5
1946;7;2;14;2
1946;7;2;21;3
1946;7;3;7;1
1946;7;3;14;1
1946;7;3;21;1
1946;7;4;7;1
1946;7;4;14;1
1946;7;4;21;1
1946;7;5;7;2
1946;7;5;14;2
1946;7;5;21;8
1946;7;6;7;8
1946;7;6;14;8
1946;7;6;21;8
1946;7;7;7;8
1946;7;7;14;8
1946;7;7;21;8
1946;7;8;7;8
1946;7;8;14;8
1946;7;8;21;8
1946;7;9;7;8
1946;7;9;14;7
1946;7;9;21;2
1946;7;10;7;7
1946;7;10;14;3
1946;7;10;21;2
1946;7;11;7;3
1946;7;11;14;2
1946;7;11;21;1
1946;7;12;7;0
1946;7;12;14;2
1946;7;12;21;1
1946;7;13;7;2
1946;7;13;14;1
1946;7;13;21;0
1946;7;14;7;1
1946;7;14;14;2
1946;7;14;21;3
1946;7;15;7;8
1946;7;15;14;8
1946;7;15;21;4
1946;7;16;7;6
1946;7;16;14;2
1946;7;16;21;1
1946;7;17;7;1
1946;7;17;14;2
1946;7;17;21;6
1946;7;18;7;6
1946;7;18;14;3
1946;7;18;21;4
1946;7;19;7;6
1946;7;19;14;7
1946;7;19;21;8
1946;7;20;7;1
1946;7;20;14;2
1946;7;20;21;2
1946;7;21;7;7
1946;7;21;14;8
1946;7;21;21;8
1946;7;22;7;8
1946;7;22;14;4
1946;7;22;21;7
1946;7;23;7;2
1946;7;23;14;1
1946;7;23;21;1
1946;7;24;7;1
1946;7;24;14;0
1946;7;24;21;2
1946;7;25;7;2
1946;7;25;14;1
1946;7;25;21;7
1946;7;26;7;0
1946;7;26;14;0
1946;7;26;21;0
1946;7;27;7;0
1946;7;27;14;0
1946;7;27;21;1
1946;7;28;7;1
1946;7;28;14;2
1946;7;28;21;8
1946;7;29;7;6
1946;7;29;14;5
1946;7;29;21;8
1946;7;30;7;2
1946;7;30;14;3
1946;7;30;21;6
1946;7;31;7;5
1946;7;31;14;1
1946;7;31;21;1
1946;8;1;7;3
1946;8;1;14;7
1946;8;1;21;7
1946;8;2;7;6
1946;8;2;14;4
1946;8;2;21;1
1946;8;3;7;1
1946;8;3;14;1
1946;8;3;21;0
1946;8;4;7;1
1946;8;4;14;1
1946;8;4;21;0
1946;8;5;7;2
1946;8;5;14;2
1946;8;5;21;2
1946;8;6;7;3
1946;8;6;14;2
1946;8;6;21;5
1946;8;7;7;4
1946;8;7;14;2
1946;8;7;21;2
1946;8;8;7;4
1946;8;8;14;2
1946;8;8;21;7
1946;8;9;7;7
1946;8;9;14;4
1946;8;9;21;7
1946;8;10;7;2
1946;8;10;14;1
1946;8;10;21;1
1946;8;11;7;4
1946;8;11;14;5
1946;8;11;21;7
1946;8;12;7;1
1946;8;12;14;2
1946;8;12;21;0
1946;8;13;7;1
1946;8;13;14;8
1946;8;13;21;2
1946;8;14;7;0
1946;8;14;14;0
1946;8;14;21;6
1946;8;15;7;7
1946;8;15;14;8
1946;8;15;21;8
1946;8;16;7;2
1946;8;16;14;1
1946;8;16;21;5
1946;8;17;7;8
1946;8;17;14;6
1946;8;17;21;2
1946;8;18;7;3
1946;8;18;14;3
1946;8;18;21;8
1946;8;19;7;8
1946;8;19;14;8
1946;8;19;21;8
1946;8;20;7;0
1946;8;20;14;3
1946;8;20;21;7
1946;8;21;7;8
1946;8;21;14;5
1946;8;21;21;8
1946;8;22;7;8
1946;8;22;14;8
1946;8;22;21;8
1946;8;23;7;8
1946;8;23;14;8
1946;8;23;21;6
1946;8;24;7;0
1946;8;24;14;1
1946;8;24;21;2
1946;8;25;7;1
1946;8;25;14;2
1946;8;25;21;2
1946;8;26;7;8
1946;8;26;14;7
1946;8;26;21;8
1946;8;27;7;4
1946;8;27;14;3
1946;8;27;21;1
1946;8;28;7;1
1946;8;28;14;1
1946;8;28;21;0
1946;8;29;7;1
1946;8;29;14;6
1946;8;29;21;1
1946;8;30;7;8
1946;8;30;14;8
1946;8;30;21;3
1946;8;31;7;8
1946;8;31;14;8
1946;8;31;21;8
1946;9;1;7;2
1946;9;1;14;2
1946;9;1;21;7
1946;9;2;7;7
1946;9;2;14;6
1946;9;2;21;8
1946;9;3;7;5
1946;9;3;14;2
1946;9;3;21;2
1946;9;4;7;2
1946;9;4;14;3
1946;9;4;21;1
1946;9;5;7;1
1946;9;5;14;2
1946;9;5;21;0
1946;9;6;7;2
1946;9;6;14;8
1946;9;6;21;1
1946;9;7;7;8
1946;9;7;14;4
1946;9;7;21;8
1946;9;8;7;1
1946;9;8;14;2
1946;9;8;21;2
1946;9;9;7;8
1946;9;9;14;6
1946;9;9;21;8
1946;9;10;7;2
1946;9;10;14;3
1946;9;10;21;0
1946;9;11;7;1
1946;9;11;14;2
1946;9;11;21;0
1946;9;12;7;4
1946;9;12;14;3
1946;9;12;21;3
1946;9;13;7;0
1946;9;13;14;2
1946;9;13;21;2
1946;9;14;7;3
1946;9;14;14;8
1946;9;14;21;0
1946;9;15;7;5
1946;9;15;14;7
1946;9;15;21;8
1946;9;16;7;8
1946;9;16;14;1
1946;9;16;21;0
1946;9;17;7;1
1946;9;17;14;4
1946;9;17;21;0
1946;9;18;7;4
1946;9;18;14;8
1946;9;18;21;1
1946;9;19;7;7
1946;9;19;14;5
1946;9;19;21;8
1946;9;20;7;4
1946;9;20;14;1
1946;9;20;21;0
1946;9;21;7;7
1946;9;21;14;6
1946;9;21;21;0
1946;9;22;7;4
1946;9;22;14;1
1946;9;22;21;0
1946;9;23;7;1
1946;9;23;14;1
1946;9;23;21;0
1946;9;24;7;0
1946;9;24;14;0
1946;9;24;21;0
1946;9;25;7;1
1946;9;25;14;0
1946;9;25;21;0
1946;9;26;7;8
1946;9;26;14;0
1946;9;26;21;0
1946;9;27;7;8
1946;9;27;14;0
1946;9;27;21;0
1946;9;28;7;8
1946;9;28;14;0
1946;9;28;21;0
1946;9;29;7;8
1946;9;29;14;0
1946;9;29;21;0
1946;9;30;7;8
1946;9;30;14;1
1946;9;30;21;0
1946;10;1;7;8
1946;10;1;14;1
1946;10;1;21;0
1946;10;2;7;8
1946;10;2;14;6
1946;10;2;21;0
1946;10;3;7;4
1946;10;3;14;7
1946;10;3;21;0
1946;10;4;7;6
1946;10;4;14;6
1946;10;4;21;8
1946;10;5;7;8
1946;10;5;14;7
1946;10;5;21;8
1946;10;6;7;8
1946;10;6;14;8
1946;10;6;21;5
1946;10;7;7;6
1946;10;7;14;8
1946;10;7;21;5
1946;10;8;7;8
1946;10;8;14;8
1946;10;8;21;7
1946;10;9;7;8
1946;10;9;14;8
1946;10;9;21;8
1946;10;10;7;7
1946;10;10;14;8
1946;10;10;21;0
1946;10;11;7;1
1946;10;11;14;0
1946;10;11;21;0
1946;10;12;7;8
1946;10;12;14;1
1946;10;12;21;0
1946;10;13;7;3
1946;10;13;14;1
1946;10;13;21;0
1946;10;14;7;0
1946;10;14;14;1
1946;10;14;21;2
1946;10;15;7;8
1946;10;15;14;8
1946;10;15;21;8
1946;10;16;7;8
1946;10;16;14;2
1946;10;16;21;0
1946;10;17;7;0
1946;10;17;14;1
1946;10;17;21;0
1946;10;18;7;8
1946;10;18;14;0
1946;10;18;21;0
1946;10;19;7;8
1946;10;19;14;0
1946;10;19;21;0
1946;10;20;7;3
1946;10;20;14;2
1946;10;20;21;0
1946;10;21;7;8
1946;10;21;14;4
1946;10;21;21;8
1946;10;22;7;7
1946;10;22;14;6
1946;10;22;21;2
1946;10;23;7;6
1946;10;23;14;8
1946;10;23;21;8
1946;10;24;7;6
1946;10;24;14;0
1946;10;24;21;0
1946;10;25;7;0
1946;10;25;14;0
1946;10;25;21;0
1946;10;26;7;2
1946;10;26;14;2
1946;10;26;21;0
1946;10;27;7;4
1946;10;27;14;3
1946;10;27;21;8
1946;10;28;7;5
1946;10;28;14;6
1946;10;28;21;6
1946;10;29;7;8
1946;10;29;14;8
1946;10;29;21;8
1946;10;30;7;8
1946;10;30;14;6
1946;10;30;21;0
1946;10;31;7;8
1946;10;31;14;8
1946;10;31;21;8
1946;11;1;7;8
1946;11;1;14;8
1946;11;1;21;8
1946;11;2;7;8
1946;11;2;14;6
1946;11;2;21;0
1946;11;3;7;0
1946;11;3;14;3
1946;11;3;21;4
1946;11;4;7;6
1946;11;4;14;7
1946;11;4;21;8
1946;11;5;7;8
1946;11;5;14;8
1946;11;5;21;8
1946;11;6;7;8
1946;11;6;14;8
1946;11;6;21;8
1946;11;7;7;8
1946;11;7;14;8
1946;11;7;21;8
1946;11;8;7;8
1946;11;8;14;8
1946;11;8;21;8
1946;11;9;7;8
1946;11;9;14;8
1946;11;9;21;8
1946;11;10;7;8
1946;11;10;14;7
