STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       2712;1972122107;    5;   0;   0;eor
       2712;1972122114;    5;   0;   0;eor
       2712;1972122121;    5;  28;   1;eor
       2712;1972122207;    5;  32;   1;eor
       2712;1972122214;    5;  32;   1;eor
       2712;1972122221;    5;   0;   0;eor
       2712;1972122307;    5;  20;   1;eor
       2712;1972122314;    5;   0;   0;eor
       2712;1972122321;    5;   0;   0;eor
       2712;1972122407;    5;   0;   0;eor
       2712;1972122414;    5;   0;   0;eor
       2712;1972122421;    5;   0;   0;eor
       2712;1972122507;    5;  24;   1;eor
       2712;1972122514;    5;  32;   1;eor
       2712;1972122521;    5;  32;   1;eor
       2712;1972122607;    5;  32;   1;eor
       2712;1972122614;    5;   0;   0;eor
       2712;1972122621;    5;   0;   0;eor
       2712;1972122707;    5;  24;   2;eor
       2712;1972122714;    5;  24;   1;eor
       2712;1972122721;    5;  24;   1;eor
       2712;1972122807;    5;  24;   1;eor
       2712;1972122814;    5;  24;   1;eor
       2712;1972122821;    5;  28;   1;eor
       2712;1972122907;    5;  28;   1;eor
       2712;1972122914;    5;   0;   0;eor
       2712;1972122921;    5;  28;   1;eor
       2712;1972123007;    5;  24;   1;eor
       2712;1972123014;    5;   4;   1;eor
       2712;1972123021;    5;  24;   1;eor
       2712;1972123107;    5;  24;   1;eor
       2712;1972123114;    5;  16;   1;eor
       2712;1972123121;    5;  28;   1;eor
       2712;1973010107;    5;  28;   1;eor
       2712;1973010114;    5;   0;   0;eor
       2712;1973010121;    5;  24;   2;eor
       2712;1973010207;    5;  24;   2;eor
       2712;1973010214;    5;   0;   0;eor
       2712;1973010221;    5;   0;   0;eor
       2712;1973010307;    5;  28;   1;eor
       2712;1973010314;    5;  24;   1;eor
       2712;1973010321;    5;  28;   1;eor
       2712;1973010407;    5;  32;   2;eor
       2712;1973010414;    5;  32;   2;eor
       2712;1973010421;    5;   4;   2;eor
       2712;1973010507;    5;   4;   3;eor
       2712;1973010514;    5;   4;   2;eor
       2712;1973010521;    5;   8;   2;eor
       2712;1973010607;    5;   8;   1;eor
       2712;1973010614;    5;   4;   2;eor
       2712;1973010621;    5;   4;   2;eor
       2712;1973010707;    5;   4;   2;eor
       2712;1973010714;    5;   4;   1;eor
       2712;1973010721;    5;   0;   0;eor
       2712;1973010807;    5;  28;   1;eor
       2712;1973010814;    5;  24;   1;eor
       2712;1973010821;    5;  32;   1;eor
       2712;1973010907;    5;   0;   0;eor
       2712;1973010914;    5;   8;   1;eor
       2712;1973010921;    5;   8;   1;eor
       2712;1973011007;    5;   8;   1;eor
       2712;1973011014;    5;   4;   1;eor
       2712;1973011021;    5;   4;   2;eor
       2712;1973011107;    5;   4;   1;eor
       2712;1973011114;    5;  16;   1;eor
       2712;1973011121;    5;  32;   1;eor
       2712;1973011207;    5;  32;   1;eor
       2712;1973011214;    5;  32;   1;eor
       2712;1973011221;    5;   8;   1;eor
       2712;1973011307;    5;  32;   1;eor
       2712;1973011314;    5;  16;   1;eor
       2712;1973011321;    5;  28;   1;eor
       2712;1973011407;    5;   0;   0;eor
       2712;1973011414;    5;  20;   1;eor
       2712;1973011421;    5;   0;   0;eor
       2712;1973011507;    5;  24;   1;eor
       2712;1973011514;    5;  12;   1;eor
       2712;1973011521;    5;  24;   1;eor
       2712;1973011607;    5;  20;   1;eor
       2712;1973011614;    5;  24;   1;eor
       2712;1973011621;    5;  32;   2;eor
       2712;1973011707;    5;   8;   1;eor
       2712;1973011714;    5;   4;   1;eor
       2712;1973011721;    5;  32;   1;eor
       2712;1973011807;    5;  32;   1;eor
       2712;1973011814;    5;   0;   0;eor
       2712;1973011821;    5;  24;   1;eor
       2712;1973011907;    5;   0;   0;eor
       2712;1973011914;    5;   0;   0;eor
       2712;1973011921;    5;  24;   1;eor
       2712;1973012007;    5;  12;   1;eor
       2712;1973012014;    5;  20;   2;eor
