Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
5142;Ueckermünde;RF_TER;01.08.1992-15:00;02.08.1992-13:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;02.08.1992-15:00;03.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;03.08.1992-15:00;04.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;04.08.1992-15:00;05.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;05.08.1992-15:00;06.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;06.08.1992-15:00;07.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;07.08.1992-15:00;08.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;08.08.1992-15:00;09.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;09.08.1992-15:00;10.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;10.08.1992-08:00;11.08.1992-06:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;11.08.1992-08:00;12.08.1992-06:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;12.08.1992-08:00;13.08.1992-06:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;13.08.1992-08:00;14.08.1992-06:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;14.08.1992-08:00;17.08.1992-06:00;8;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;17.08.1992-15:00;18.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;18.08.1992-15:00;19.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;19.08.1992-15:00;20.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;15.10.1992-08:00;15.10.1992-20:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;15.10.1992-22:00;16.10.1992-13:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;08.11.2005-07:00;09.11.2005-17:00;5;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;17.12.2005-19:00;18.12.2005-17:00;3;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;18.12.2005-19:00;19.12.2005-11:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;19.12.2005-19:00;20.12.2005-11:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;20.12.2005-13:00;22.12.2005-11:00;6;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;22.12.2005-19:00;27.12.2005-11:00;14;;eor;                                                                                                                                      
5142;Ueckermünde;RF_TER;30.12.2005-13:00;03.01.2006-17:00;13;;eor;                                                                                                                                      
5142;Ueckermünde;RF_TER;25.04.2006-07:00;26.04.2006-17:00;5;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;02.05.2006-19:00;03.05.2006-11:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;11.01.2016-19:00;13.01.2016-11:00;4;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;30.06.2018-19:00;02.07.2018-17:00;5;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;19.09.2020-19:00;21.09.2020-05:00;4;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;11.09.2021-13:00;13.09.2021-05:00;5;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;19.11.2021-07:00;21.11.2021-17:00;8;;eor;                                                                                                                                       
5142;Ueckermünde;RF_TER;01.07.2022-13:00;04.07.2022-11:00;9;;eor;                                                                                                                                       
generiert: 09.05.2023 --  Deutscher Wetterdienst  --                                                                                                                                                    
