Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
596;Boltenhagen;DK_TER;08.11.2016-13:00;10.11.2016-11:00;5;;eor;                                                                                                                                        
596;Boltenhagen;DK_TER;18.11.2016-19:00;21.11.2016-11:00;7;;eor;                                                                                                                                        
596;Boltenhagen;DK_TER;21.11.2016-19:00;23.11.2016-11:00;4;;eor;                                                                                                                                        
596;Boltenhagen;DK_TER;05.05.2017-07:00;08.05.2017-11:00;9;;eor;                                                                                                                                        
596;Boltenhagen;DK_TER;05.10.2017-13:00;24.10.2017-11:00;56;;eor;                                                                                                                                       
596;Boltenhagen;DK_TER;18.01.2018-07:00;19.01.2018-11:00;3;;eor;                                                                                                                                        
596;Boltenhagen;DK_TER;26.02.2018-19:00;28.02.2018-11:00;4;;eor;                                                                                                                                        
596;Boltenhagen;DK_TER;11.06.2019-19:00;15.06.2019-11:00;10;;eor;                                                                                                                                       
596;Boltenhagen;DK_TER;15.12.2019-13:00;17.12.2019-11:00;5;;eor;                                                                                                                                        
596;Boltenhagen;DK_TER;13.06.2020-13:00;23.06.2020-11:00;29;;eor;                                                                                                                                       
596;Boltenhagen;DK_TER;31.12.2020-19:00;04.01.2021-11:00;10;;eor;                                                                                                                                       
596;Boltenhagen;DK_TER;30.12.2021-13:00;03.01.2022-11:00;12;;eor;                                                                                                                                       
596;Boltenhagen;DK_TER;24.06.2022-13:00;27.06.2022-11:00;9;;eor;                                                                                                                                        
596;Boltenhagen;DK_TER;20.12.2022-13:00;21.12.2022-11:00;3;;eor;                                                                                                                                        
generiert: 09.05.2023 --  Deutscher Wetterdienst  --                                                                                                                                                    
